Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,LineCode5,Lat,Lon,Address.Street,Address.City,Address.State,Address.Zip,Line,Order
G01,Benning Road,,,BL,SV,---,---,---,38.890488,-76.938291,4500 Benning Road,Washington,DC,20019,Blue,23
G02,Capitol Heights,,,BL,SV,---,---,---,38.889757,-76.913382,133 Central Avenue,Capitol Heights,MD,20743,Blue,24
G03,Addison Road-Seat Pleasant,,,BL,SV,---,---,---,38.886713,-76.893592,100 Addison Road S.,Capitol Heights,MD,20743,Blue,25
G04,Morgan Boulevard,,,BL,SV,---,---,---,38.8913,-76.8682,300 Garrett Morgan Blvd.,Landover,MD,20785,Blue,26
G05,Largo Town Center,,,BL,SV,---,---,---,38.9008,-76.8449,Largo Town Center 9000 Lottsford Road,Largo,MD,20774,Blue,27
E10,Greenbelt,,,GR,---,---,---,---,39.011036,-76.911362,5717 Greenbelt Metro Drive,Greenbelt,MD,20740,Green,1
E09,College Park-U of Md,,,GR,---,---,---,---,38.978523,-76.928432,4931 Calvert Road,College Park,MD,20740,Green,2
E08,Prince George's Plaza,,,GR,---,---,---,---,38.965276,-76.956182,3575 East West Highway,Hyattsville,MD,20782,Green,3
E07,West Hyattsville,,,GR,---,---,---,---,38.954931,-76.969881,2700 Hamilton St.,Hyattsville,MD,20782,Green,4
E06,Fort Totten,B06,,GR,RD,YL,---,---,38.951777,-77.002174,550 Galloway Street NE,Washington,DC,20011,Green,5
E05,Georgia Ave-Petworth,,,GR,YL,---,---,---,38.936077,-77.024728,3700 Georgia Avenue NW,Washington,DC,20010,Green,6
E04,Columbia Heights,,,GR,YL,---,---,---,38.928672,-77.032775,3030 14th St. NW,Washington,DC,20009,Green,7
E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,---,---,---,38.916489,-77.028938,1240 U Street NW,Washington,DC,20009,Green,8
E02,Shaw-Howard U,,,GR,YL,---,---,---,38.912919,-77.022194,1701 8th St. NW,Washington,DC,20001,Green,9
E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,---,---,---,38.905604,-77.022256,700 M St. NW,Washington,DC,20001,Green,10
