FIPS,County/Equivalent,Federal District Court,Public Attorney Search,State
18007,"Benton County, IN",Northern District of Indiana,No,Indiana
18009,"Blackford County, IN",Northern District of Indiana,No,Indiana
18011,"Boone County, IN",Southern District of Indiana,Yes,Indiana
18013,"Brown County, IN",Southern District of Indiana,Yes,Indiana
18015,"Carroll County, IN",Northern District of Indiana,No,Indiana
18017,"Cass County, IN",Northern District of Indiana,No,Indiana
18019,"Clark County, IN",Southern District of Indiana,Yes,Indiana
18021,"Clay County, IN",Southern District of Indiana,Yes,Indiana
18023,"Clinton County, IN",Southern District of Indiana,Yes,Indiana
18025,"Crawford County, IN",Southern District of Indiana,Yes,Indiana
18027,"Daviess County, IN",Southern District of Indiana,Yes,Indiana
18029,"Dearborn County, IN",Southern District of Indiana,Yes,Indiana
18031,"Decatur County, IN",Southern District of Indiana,Yes,Indiana
18033,"DeKalb County, IN",Northern District of Indiana,No,Indiana
18035,"Delaware County, IN",Southern District of Indiana,Yes,Indiana
18037,"Dubois County, IN",Southern District of Indiana,Yes,Indiana
18039,"Elkhart County, IN",Northern District of Indiana,No,Indiana
18041,"Fayette County, IN",Southern District of Indiana,Yes,Indiana
18043,"Floyd County, IN",Southern District of Indiana,Yes,Indiana
18045,"Fountain County, IN",Southern District of Indiana,Yes,Indiana
18047,"Franklin County, IN",Southern District of Indiana,Yes,Indiana
18049,"Fulton County, IN",Northern District of Indiana,No,Indiana
18051,"Gibson County, IN",Southern District of Indiana,Yes,Indiana
18053,"Grant County, IN",Northern District of Indiana,No,Indiana
18055,"Greene County, IN",Southern District of Indiana,Yes,Indiana
18057,"Hamilton County, IN",Southern District of Indiana,Yes,Indiana
18059,"Hancock County, IN",Southern District of Indiana,Yes,Indiana
18061,"Harrison County, IN",Southern District of Indiana,Yes,Indiana
18063,"Hendricks County, IN",Southern District of Indiana,Yes,Indiana
18065,"Henry County, IN",Southern District of Indiana,Yes,Indiana
18067,"Howard County, IN",Southern District of Indiana,Yes,Indiana
18069,"Huntington County, IN",Northern District of Indiana,No,Indiana
18071,"Jackson County, IN",Southern District of Indiana,Yes,Indiana
18073,"Jasper County, IN",Northern District of Indiana,No,Indiana
18075,"Jay County, IN",Northern District of Indiana,No,Indiana
18077,"Jefferson County, IN",Southern District of Indiana,Yes,Indiana
18079,"Jennings County, IN",Southern District of Indiana,Yes,Indiana
18081,"Johnson County, IN",Southern District of Indiana,Yes,Indiana
18083,"Knox County, IN",Southern District of Indiana,Yes,Indiana
18085,"Kosciusko County, IN",Northern District of Indiana,No,Indiana
18087,"LaGrange County, IN",Northern District of Indiana,No,Indiana
18089,"Lake County, IN",Northern District of Indiana,No,Indiana
18091,"LaPorte County, IN",Northern District of Indiana,No,Indiana
18093,"Lawrence County, IN",Southern District of Indiana,Yes,Indiana
18095,"Madison County, IN",Southern District of Indiana,Yes,Indiana
18097,"Marion County, IN",Southern District of Indiana,Yes,Indiana
18099,"Marshall County, IN",Northern District of Indiana,No,Indiana
18101,"Martin County, IN",Southern District of Indiana,Yes,Indiana
18103,"Miami County, IN",Northern District of Indiana,No,Indiana
18105,"Monroe County, IN",Southern District of Indiana,Yes,Indiana
18107,"Montgomery County, IN",Southern District of Indiana,Yes,Indiana
18109,"Morgan County, IN",Southern District of Indiana,Yes,Indiana
18111,"Newton County, IN",Northern District of Indiana,No,Indiana
18113,"Noble County, IN",Northern District of Indiana,No,Indiana
18115,"Ohio County, IN",Southern District of Indiana,Yes,Indiana
18117,"Orange County, IN",Southern District of Indiana,Yes,Indiana
18119,"Owen County, IN",Southern District of Indiana,Yes,Indiana
18121,"Parke County, IN",Southern District of Indiana,Yes,Indiana
18123,"Perry County, IN",Southern District of Indiana,Yes,Indiana
18125,"Pike County, IN",Southern District of Indiana,Yes,Indiana
18127,"Porter County, IN",Northern District of Indiana,No,Indiana
18129,"Posey County, IN",Southern District of Indiana,Yes,Indiana
18131,"Pulaski County, IN",Northern District of Indiana,No,Indiana
18133,"Putnam County, IN",Southern District of Indiana,Yes,Indiana
18135,"Randolph County, IN",Southern District of Indiana,Yes,Indiana
18137,"Ripley County, IN",Southern District of Indiana,Yes,Indiana
18139,"Rush County, IN",Southern District of Indiana,Yes,Indiana
18141,"St. Joseph County, IN",Northern District of Indiana,No,Indiana
18143,"Scott County, IN",Southern District of Indiana,Yes,Indiana
18145,"Shelby County, IN",Southern District of Indiana,Yes,Indiana
18147,"Spencer County, IN",Southern District of Indiana,Yes,Indiana
18149,"Starke County, IN",Northern District of Indiana,No,Indiana
18151,"Steuben County, IN",Northern District of Indiana,No,Indiana
18153,"Sullivan County, IN",Southern District of Indiana,Yes,Indiana
18155,"Switzerland County, IN",Southern District of Indiana,Yes,Indiana
18157,"Tippecanoe County, IN",Northern District of Indiana,No,Indiana
18159,"Tipton County, IN",Southern District of Indiana,Yes,Indiana
18161,"Union County, IN",Southern District of Indiana,Yes,Indiana
18163,"Vanderburgh County, IN",Southern District of Indiana,Yes,Indiana
18165,"Vermillion County, IN",Southern District of Indiana,Yes,Indiana
18167,"Vigo County, IN",Southern District of Indiana,Yes,Indiana
18169,"Wabash County, IN",Northern District of Indiana,No,Indiana
18171,"Warren County, IN",Northern District of Indiana,No,Indiana
18173,"Warrick County, IN",Southern District of Indiana,Yes,Indiana
18175,"Washington County, IN",Southern District of Indiana,Yes,Indiana
18177,"Wayne County, IN",Southern District of Indiana,Yes,Indiana
18179,"Wells County, IN",Northern District of Indiana,No,Indiana
18181,"White County, IN",Northern District of Indiana,No,Indiana
18183,"Whitley County, IN",Northern District of Indiana,No,Indiana
19001,"Adair County, IA",Southern District of Iowa,Yes,Iowa
19003,"Adams County, IA",Southern District of Iowa,Yes,Iowa
19005,"Allamakee County, IA",Northern District of Iowa,No,Iowa
19007,"Appanoose County, IA",Southern District of Iowa,Yes,Iowa
19009,"Audubon County, IA",Southern District of Iowa,Yes,Iowa
19011,"Benton County, IA",Northern District of Iowa,No,Iowa
19013,"Black Hawk County, IA",Northern District of Iowa,No,Iowa
19015,"Boone County, IA",Southern District of Iowa,Yes,Iowa
19017,"Bremer County, IA",Northern District of Iowa,No,Iowa
19019,"Buchanan County, IA",Northern District of Iowa,No,Iowa
19021,"Buena Vista County, IA",Northern District of Iowa,No,Iowa
19023,"Butler County, IA",Northern District of Iowa,No,Iowa
19025,"Calhoun County, IA",Northern District of Iowa,No,Iowa
19027,"Carroll County, IA",Northern District of Iowa,No,Iowa
19029,"Cass County, IA",Southern District of Iowa,Yes,Iowa
19031,"Cedar County, IA",Northern District of Iowa,No,Iowa
19033,"Cerro Gordo County, IA",Northern District of Iowa,No,Iowa
19035,"Cherokee County, IA",Northern District of Iowa,No,Iowa
19037,"Chickasaw County, IA",Northern District of Iowa,No,Iowa
19039,"Clarke County, IA",Southern District of Iowa,Yes,Iowa
19041,"Clay County, IA",Northern District of Iowa,No,Iowa
19043,"Clayton County, IA",Northern District of Iowa,No,Iowa
19045,"Clinton County, IA",Southern District of Iowa,Yes,Iowa
19047,"Crawford County, IA",Northern District of Iowa,No,Iowa
19049,"Dallas County, IA",Southern District of Iowa,Yes,Iowa
19051,"Davis County, IA",Southern District of Iowa,Yes,Iowa
19053,"Decatur County, IA",Southern District of Iowa,Yes,Iowa
19055,"Delaware County, IA",Northern District of Iowa,No,Iowa
19057,"Des Moines County, IA",Southern District of Iowa,Yes,Iowa
19059,"Dickinson County, IA",Northern District of Iowa,No,Iowa
19061,"Dubuque County, IA",Northern District of Iowa,No,Iowa
19063,"Emmet County, IA",Northern District of Iowa,No,Iowa
19065,"Fayette County, IA",Northern District of Iowa,No,Iowa
19067,"Floyd County, IA",Northern District of Iowa,No,Iowa
19069,"Franklin County, IA",Northern District of Iowa,No,Iowa
19071,"Fremont County, IA",Southern District of Iowa,Yes,Iowa
19073,"Greene County, IA",Southern District of Iowa,Yes,Iowa
19075,"Grundy County, IA",Northern District of Iowa,No,Iowa
19077,"Guthrie County, IA",Southern District of Iowa,Yes,Iowa
19079,"Hamilton County, IA",Northern District of Iowa,No,Iowa
19081,"Hancock County, IA",Northern District of Iowa,No,Iowa
19083,"Hardin County, IA",Northern District of Iowa,No,Iowa
19085,"Harrison County, IA",Southern District of Iowa,Yes,Iowa
19087,"Henry County, IA",Southern District of Iowa,Yes,Iowa
19089,"Howard County, IA",Northern District of Iowa,No,Iowa
19091,"Humboldt County, IA",Northern District of Iowa,No,Iowa
19093,"Ida County, IA",Northern District of Iowa,No,Iowa
19095,"Iowa County, IA",Northern District of Iowa,No,Iowa
19097,"Jackson County, IA",Northern District of Iowa,No,Iowa
19099,"Jasper County, IA",Southern District of Iowa,Yes,Iowa
19101,"Jefferson County, IA",Southern District of Iowa,Yes,Iowa
19103,"Johnson County, IA",Southern District of Iowa,Yes,Iowa
19105,"Jones County, IA",Northern District of Iowa,No,Iowa
19107,"Keokuk County, IA",Southern District of Iowa,Yes,Iowa
19109,"Kossuth County, IA",Northern District of Iowa,No,Iowa
19111,"Lee County, IA",Southern District of Iowa,Yes,Iowa
19113,"Linn County, IA",Northern District of Iowa,No,Iowa
19115,"Louisa County, IA",Southern District of Iowa,Yes,Iowa
19117,"Lucas County, IA",Southern District of Iowa,Yes,Iowa
19119,"Lyon County, IA",Northern District of Iowa,No,Iowa
19121,"Madison County, IA",Southern District of Iowa,Yes,Iowa
19123,"Mahaska County, IA",Southern District of Iowa,Yes,Iowa
19125,"Marion County, IA",Southern District of Iowa,Yes,Iowa
19127,"Marshall County, IA",Southern District of Iowa,Yes,Iowa
19129,"Mills County, IA",Southern District of Iowa,Yes,Iowa
19131,"Mitchell County, IA",Northern District of Iowa,No,Iowa
19133,"Monona County, IA",Northern District of Iowa,No,Iowa
19135,"Monroe County, IA",Southern District of Iowa,Yes,Iowa
19137,"Montgomery County, IA",Southern District of Iowa,Yes,Iowa
19139,"Muscatine County, IA",Southern District of Iowa,Yes,Iowa
19141,"O'Brien County, IA",Northern District of Iowa,No,Iowa
19143,"Osceola County, IA",Northern District of Iowa,No,Iowa
19145,"Page County, IA",Southern District of Iowa,Yes,Iowa
19147,"Palo Alto County, IA",Northern District of Iowa,No,Iowa
19149,"Plymouth County, IA",Northern District of Iowa,No,Iowa
19151,"Pocahontas County, IA",Northern District of Iowa,No,Iowa
19153,"Polk County, IA",Southern District of Iowa,Yes,Iowa
19155,"Pottawattamie County, IA",Southern District of Iowa,Yes,Iowa
19157,"Poweshiek County, IA",Southern District of Iowa,Yes,Iowa
19159,"Ringgold County, IA",Southern District of Iowa,Yes,Iowa
19161,"Sac County, IA",Northern District of Iowa,No,Iowa
19163,"Scott County, IA",Southern District of Iowa,Yes,Iowa
19165,"Shelby County, IA",Southern District of Iowa,Yes,Iowa
19167,"Sioux County, IA",Northern District of Iowa,No,Iowa
19169,"Story County, IA",Southern District of Iowa,Yes,Iowa
19171,"Tama County, IA",Northern District of Iowa,No,Iowa
19173,"Taylor County, IA",Southern District of Iowa,Yes,Iowa
19175,"Union County, IA",Southern District of Iowa,Yes,Iowa
19177,"Van Buren County, IA",Southern District of Iowa,Yes,Iowa
19179,"Wapello County, IA",Southern District of Iowa,Yes,Iowa
19181,"Warren County, IA",Southern District of Iowa,Yes,Iowa
19183,"Washington County, IA",Southern District of Iowa,Yes,Iowa
19185,"Wayne County, IA",Southern District of Iowa,Yes,Iowa
19187,"Webster County, IA",Northern District of Iowa,No,Iowa
19189,"Winnebago County, IA",Northern District of Iowa,No,Iowa
19191,"Winneshiek County, IA",Northern District of Iowa,No,Iowa
19193,"Woodbury County, IA",Northern District of Iowa,No,Iowa
19195,"Worth County, IA",Northern District of Iowa,No,Iowa
19197,"Wright County, IA",Northern District of Iowa,No,Iowa
20001,"Allen County, KS",District of Kansas,Yes,Kansas
20003,"Anderson County, KS",District of Kansas,Yes,Kansas
20005,"Atchison County, KS",District of Kansas,Yes,Kansas
20007,"Barber County, KS",District of Kansas,Yes,Kansas
20009,"Barton County, KS",District of Kansas,Yes,Kansas
20011,"Bourbon County, KS",District of Kansas,Yes,Kansas
20013,"Brown County, KS",District of Kansas,Yes,Kansas
20015,"Butler County, KS",District of Kansas,Yes,Kansas
20017,"Chase County, KS",District of Kansas,Yes,Kansas
20019,"Chautauqua County, KS",District of Kansas,Yes,Kansas
20021,"Cherokee County, KS",District of Kansas,Yes,Kansas
20023,"Cheyenne County, KS",District of Kansas,Yes,Kansas
20025,"Clark County, KS",District of Kansas,Yes,Kansas
20027,"Clay County, KS",District of Kansas,Yes,Kansas
20029,"Cloud County, KS",District of Kansas,Yes,Kansas
20031,"Coffey County, KS",District of Kansas,Yes,Kansas
20033,"Comanche County, KS",District of Kansas,Yes,Kansas
20035,"Cowley County, KS",District of Kansas,Yes,Kansas
20037,"Crawford County, KS",District of Kansas,Yes,Kansas
20039,"Decatur County, KS",District of Kansas,Yes,Kansas
20041,"Dickinson County, KS",District of Kansas,Yes,Kansas
20043,"Doniphan County, KS",District of Kansas,Yes,Kansas
20045,"Douglas County, KS",District of Kansas,Yes,Kansas
20047,"Edwards County, KS",District of Kansas,Yes,Kansas
20049,"Elk County, KS",District of Kansas,Yes,Kansas
20051,"Ellis County, KS",District of Kansas,Yes,Kansas
20053,"Ellsworth County, KS",District of Kansas,Yes,Kansas
20055,"Finney County, KS",District of Kansas,Yes,Kansas
20057,"Ford County, KS",District of Kansas,Yes,Kansas
20059,"Franklin County, KS",District of Kansas,Yes,Kansas
20061,"Geary County, KS",District of Kansas,Yes,Kansas
20063,"Gove County, KS",District of Kansas,Yes,Kansas
20065,"Graham County, KS",District of Kansas,Yes,Kansas
20067,"Grant County, KS",District of Kansas,Yes,Kansas
20069,"Gray County, KS",District of Kansas,Yes,Kansas
20071,"Greeley County, KS",District of Kansas,Yes,Kansas
20073,"Greenwood County, KS",District of Kansas,Yes,Kansas
20075,"Hamilton County, KS",District of Kansas,Yes,Kansas
20077,"Harper County, KS",District of Kansas,Yes,Kansas
20079,"Harvey County, KS",District of Kansas,Yes,Kansas
20081,"Haskell County, KS",District of Kansas,Yes,Kansas
20083,"Hodgeman County, KS",District of Kansas,Yes,Kansas
20085,"Jackson County, KS",District of Kansas,Yes,Kansas
20087,"Jefferson County, KS",District of Kansas,Yes,Kansas
20089,"Jewell County, KS",District of Kansas,Yes,Kansas
20091,"Johnson County, KS",District of Kansas,Yes,Kansas
20093,"Kearny County, KS",District of Kansas,Yes,Kansas
20095,"Kingman County, KS",District of Kansas,Yes,Kansas
20097,"Kiowa County, KS",District of Kansas,Yes,Kansas
20099,"Labette County, KS",District of Kansas,Yes,Kansas
20101,"Lane County, KS",District of Kansas,Yes,Kansas
20103,"Leavenworth County, KS",District of Kansas,Yes,Kansas
20105,"Lincoln County, KS",District of Kansas,Yes,Kansas
20107,"Linn County, KS",District of Kansas,Yes,Kansas
20109,"Logan County, KS",District of Kansas,Yes,Kansas
20111,"Lyon County, KS",District of Kansas,Yes,Kansas
20113,"McPherson County, KS",District of Kansas,Yes,Kansas
20115,"Marion County, KS",District of Kansas,Yes,Kansas
20117,"Marshall County, KS",District of Kansas,Yes,Kansas
20119,"Meade County, KS",District of Kansas,Yes,Kansas
20121,"Miami County, KS",District of Kansas,Yes,Kansas
20123,"Mitchell County, KS",District of Kansas,Yes,Kansas
20125,"Montgomery County, KS",District of Kansas,Yes,Kansas
20127,"Morris County, KS",District of Kansas,Yes,Kansas
20129,"Morton County, KS",District of Kansas,Yes,Kansas
20131,"Nemaha County, KS",District of Kansas,Yes,Kansas
20133,"Neosho County, KS",District of Kansas,Yes,Kansas
20135,"Ness County, KS",District of Kansas,Yes,Kansas
20137,"Norton County, KS",District of Kansas,Yes,Kansas
20139,"Osage County, KS",District of Kansas,Yes,Kansas
20141,"Osborne County, KS",District of Kansas,Yes,Kansas
20143,"Ottawa County, KS",District of Kansas,Yes,Kansas
20145,"Pawnee County, KS",District of Kansas,Yes,Kansas
20147,"Phillips County, KS",District of Kansas,Yes,Kansas
20149,"Pottawatomie County, KS",District of Kansas,Yes,Kansas
20151,"Pratt County, KS",District of Kansas,Yes,Kansas
20153,"Rawlins County, KS",District of Kansas,Yes,Kansas
20155,"Reno County, KS",District of Kansas,Yes,Kansas
20157,"Republic County, KS",District of Kansas,Yes,Kansas
20159,"Rice County, KS",District of Kansas,Yes,Kansas
20161,"Riley County, KS",District of Kansas,Yes,Kansas
20163,"Rooks County, KS",District of Kansas,Yes,Kansas
20165,"Rush County, KS",District of Kansas,Yes,Kansas
20167,"Russell County, KS",District of Kansas,Yes,Kansas
20169,"Saline County, KS",District of Kansas,Yes,Kansas
20171,"Scott County, KS",District of Kansas,Yes,Kansas
20173,"Sedgwick County, KS",District of Kansas,Yes,Kansas
20175,"Seward County, KS",District of Kansas,Yes,Kansas
20177,"Shawnee County, KS",District of Kansas,Yes,Kansas
20179,"Sheridan County, KS",District of Kansas,Yes,Kansas
20181,"Sherman County, KS",District of Kansas,Yes,Kansas
20183,"Smith County, KS",District of Kansas,Yes,Kansas
20185,"Stafford County, KS",District of Kansas,Yes,Kansas
20187,"Stanton County, KS",District of Kansas,Yes,Kansas
20189,"Stevens County, KS",District of Kansas,Yes,Kansas
20191,"Sumner County, KS",District of Kansas,Yes,Kansas
20193,"Thomas County, KS",District of Kansas,Yes,Kansas
20195,"Trego County, KS",District of Kansas,Yes,Kansas
20197,"Wabaunsee County, KS",District of Kansas,Yes,Kansas
20199,"Wallace County, KS",District of Kansas,Yes,Kansas
20201,"Washington County, KS",District of Kansas,Yes,Kansas
20203,"Wichita County, KS",District of Kansas,Yes,Kansas
20205,"Wilson County, KS",District of Kansas,Yes,Kansas
20207,"Woodson County, KS",District of Kansas,Yes,Kansas
20209,"Wyandotte County, KS",District of Kansas,Yes,Kansas
21001,"Adair County, KY",Western District of Kentucky,No,Kentucky
21003,"Allen County, KY",Western District of Kentucky,No,Kentucky
21005,"Anderson County, KY",Eastern District of Kentucky,No,Kentucky
21007,"Ballard County, KY",Western District of Kentucky,No,Kentucky
21009,"Barren County, KY",Western District of Kentucky,No,Kentucky
21011,"Bath County, KY",Eastern District of Kentucky,No,Kentucky
21013,"Bell County, KY",Eastern District of Kentucky,No,Kentucky
21015,"Boone County, KY",Eastern District of Kentucky,No,Kentucky
21017,"Bourbon County, KY",Eastern District of Kentucky,No,Kentucky
21019,"Boyd County, KY",Eastern District of Kentucky,No,Kentucky
21021,"Boyle County, KY",Eastern District of Kentucky,No,Kentucky
21023,"Bracken County, KY",Eastern District of Kentucky,No,Kentucky
21025,"Breathitt County, KY",Eastern District of Kentucky,No,Kentucky
21027,"Breckinridge County, KY",Western District of Kentucky,No,Kentucky
21029,"Bullitt County, KY",Western District of Kentucky,No,Kentucky
21031,"Butler County, KY",Western District of Kentucky,No,Kentucky
21033,"Caldwell County, KY",Western District of Kentucky,No,Kentucky
21035,"Calloway County, KY",Western District of Kentucky,No,Kentucky
21037,"Campbell County, KY",Eastern District of Kentucky,No,Kentucky
21039,"Carlisle County, KY",Western District of Kentucky,No,Kentucky
21041,"Carroll County, KY",Eastern District of Kentucky,No,Kentucky
21043,"Carter County, KY",Eastern District of Kentucky,No,Kentucky
21045,"Casey County, KY",Western District of Kentucky,No,Kentucky
21047,"Christian County, KY",Western District of Kentucky,No,Kentucky
21049,"Clark County, KY",Eastern District of Kentucky,No,Kentucky
21051,"Clay County, KY",Eastern District of Kentucky,No,Kentucky
21053,"Clinton County, KY",Western District of Kentucky,No,Kentucky
21055,"Crittenden County, KY",Western District of Kentucky,No,Kentucky
21057,"Cumberland County, KY",Western District of Kentucky,No,Kentucky
21059,"Daviess County, KY",Western District of Kentucky,No,Kentucky
21061,"Edmonson County, KY",Western District of Kentucky,No,Kentucky
21063,"Elliott County, KY",Eastern District of Kentucky,No,Kentucky
21065,"Estill County, KY",Eastern District of Kentucky,No,Kentucky
21067,"Fayette County, KY",Eastern District of Kentucky,No,Kentucky
21069,"Fleming County, KY",Eastern District of Kentucky,No,Kentucky
21071,"Floyd County, KY",Eastern District of Kentucky,No,Kentucky
21073,"Franklin County, KY",Eastern District of Kentucky,No,Kentucky
21075,"Fulton County, KY",Western District of Kentucky,No,Kentucky
21077,"Gallatin County, KY",Eastern District of Kentucky,No,Kentucky
21079,"Garrard County, KY",Eastern District of Kentucky,No,Kentucky
21081,"Grant County, KY",Eastern District of Kentucky,No,Kentucky
21083,"Graves County, KY",Western District of Kentucky,No,Kentucky
21085,"Grayson County, KY",Western District of Kentucky,No,Kentucky
21087,"Green County, KY",Western District of Kentucky,No,Kentucky
21089,"Greenup County, KY",Eastern District of Kentucky,No,Kentucky
21091,"Hancock County, KY",Western District of Kentucky,No,Kentucky
21093,"Hardin County, KY",Western District of Kentucky,No,Kentucky
21095,"Harlan County, KY",Eastern District of Kentucky,No,Kentucky
21097,"Harrison County, KY",Eastern District of Kentucky,No,Kentucky
21099,"Hart County, KY",Western District of Kentucky,No,Kentucky
21101,"Henderson County, KY",Western District of Kentucky,No,Kentucky
21103,"Henry County, KY",Eastern District of Kentucky,No,Kentucky
21105,"Hickman County, KY",Western District of Kentucky,No,Kentucky
21107,"Hopkins County, KY",Western District of Kentucky,No,Kentucky
21109,"Jackson County, KY",Eastern District of Kentucky,No,Kentucky
21111,"Jefferson County, KY",Western District of Kentucky,No,Kentucky
21113,"Jessamine County, KY",Eastern District of Kentucky,No,Kentucky
21115,"Johnson County, KY",Eastern District of Kentucky,No,Kentucky
21117,"Kenton County, KY",Eastern District of Kentucky,No,Kentucky
21119,"Knott County, KY",Eastern District of Kentucky,No,Kentucky
21121,"Knox County, KY",Eastern District of Kentucky,No,Kentucky
21123,"Larue County, KY",Western District of Kentucky,No,Kentucky
21125,"Laurel County, KY",Eastern District of Kentucky,No,Kentucky
21127,"Lawrence County, KY",Eastern District of Kentucky,No,Kentucky
21129,"Lee County, KY",Eastern District of Kentucky,No,Kentucky
21131,"Leslie County, KY",Eastern District of Kentucky,No,Kentucky
21133,"Letcher County, KY",Eastern District of Kentucky,No,Kentucky
21135,"Lewis County, KY",Eastern District of Kentucky,No,Kentucky
21137,"Lincoln County, KY",Eastern District of Kentucky,No,Kentucky
21139,"Livingston County, KY",Western District of Kentucky,No,Kentucky
21141,"Logan County, KY",Western District of Kentucky,No,Kentucky
21143,"Lyon County, KY",Western District of Kentucky,No,Kentucky
21145,"McCracken County, KY",Western District of Kentucky,No,Kentucky
21147,"McCreary County, KY",Eastern District of Kentucky,No,Kentucky
21149,"McLean County, KY",Western District of Kentucky,No,Kentucky
21151,"Madison County, KY",Eastern District of Kentucky,No,Kentucky
21153,"Magoffin County, KY",Eastern District of Kentucky,No,Kentucky
21155,"Marion County, KY",Western District of Kentucky,No,Kentucky
21157,"Marshall County, KY",Western District of Kentucky,No,Kentucky
21159,"Martin County, KY",Eastern District of Kentucky,No,Kentucky
21161,"Mason County, KY",Eastern District of Kentucky,No,Kentucky
21163,"Meade County, KY",Western District of Kentucky,No,Kentucky
21165,"Menifee County, KY",Eastern District of Kentucky,No,Kentucky
21167,"Mercer County, KY",Eastern District of Kentucky,No,Kentucky
21169,"Metcalfe County, KY",Western District of Kentucky,No,Kentucky
21171,"Monroe County, KY",Western District of Kentucky,No,Kentucky
21173,"Montgomery County, KY",Eastern District of Kentucky,No,Kentucky
21175,"Morgan County, KY",Eastern District of Kentucky,No,Kentucky
21177,"Muhlenberg County, KY",Western District of Kentucky,No,Kentucky
21179,"Nelson County, KY",Western District of Kentucky,No,Kentucky
21181,"Nicholas County, KY",Eastern District of Kentucky,No,Kentucky
21183,"Ohio County, KY",Western District of Kentucky,No,Kentucky
21185,"Oldham County, KY",Western District of Kentucky,No,Kentucky
21187,"Owen County, KY",Eastern District of Kentucky,No,Kentucky
21189,"Owsley County, KY",Eastern District of Kentucky,No,Kentucky
21191,"Pendleton County, KY",Eastern District of Kentucky,No,Kentucky
21193,"Perry County, KY",Eastern District of Kentucky,No,Kentucky
21195,"Pike County, KY",Eastern District of Kentucky,No,Kentucky
21197,"Powell County, KY",Eastern District of Kentucky,No,Kentucky
21199,"Pulaski County, KY",Eastern District of Kentucky,No,Kentucky
21201,"Robertson County, KY",Eastern District of Kentucky,No,Kentucky
21203,"Rockcastle County, KY",Eastern District of Kentucky,No,Kentucky
21205,"Rowan County, KY",Eastern District of Kentucky,No,Kentucky
21207,"Russell County, KY",Western District of Kentucky,No,Kentucky
21209,"Scott County, KY",Eastern District of Kentucky,No,Kentucky
21211,"Shelby County, KY",Eastern District of Kentucky,No,Kentucky
21213,"Simpson County, KY",Western District of Kentucky,No,Kentucky
21215,"Spencer County, KY",Western District of Kentucky,No,Kentucky
21217,"Taylor County, KY",Western District of Kentucky,No,Kentucky
21219,"Todd County, KY",Western District of Kentucky,No,Kentucky
21221,"Trigg County, KY",Western District of Kentucky,No,Kentucky
21223,"Trimble County, KY",Eastern District of Kentucky,No,Kentucky
21225,"Union County, KY",Western District of Kentucky,No,Kentucky
21227,"Warren County, KY",Western District of Kentucky,No,Kentucky
21229,"Washington County, KY",Western District of Kentucky,No,Kentucky
21231,"Wayne County, KY",Eastern District of Kentucky,No,Kentucky
21233,"Webster County, KY",Western District of Kentucky,No,Kentucky
21235,"Whitley County, KY",Eastern District of Kentucky,No,Kentucky
21237,"Wolfe County, KY",Eastern District of Kentucky,No,Kentucky
21239,"Woodford County, KY",Eastern District of Kentucky,No,Kentucky
22001,"Acadia Parish, LA",Western District of Louisiana,No,Louisiana
22003,"Allen Parish, LA",Western District of Louisiana,No,Louisiana
22005,"Ascension Parish, LA",Middle District of Louisiana,No,Louisiana
22007,"Assumption Parish, LA",Eastern District of Louisiana,No,Louisiana
22009,"Avoyelles Parish, LA",Western District of Louisiana,No,Louisiana
22011,"Beauregard Parish, LA",Western District of Louisiana,No,Louisiana
22013,"Bienville Parish, LA",Western District of Louisiana,No,Louisiana
22015,"Bossier Parish, LA",Western District of Louisiana,No,Louisiana
22017,"Caddo Parish, LA",Western District of Louisiana,No,Louisiana
22019,"Calcasieu Parish, LA",Western District of Louisiana,No,Louisiana
22021,"Caldwell Parish, LA",Western District of Louisiana,No,Louisiana
22023,"Cameron Parish, LA",Western District of Louisiana,No,Louisiana
22025,"Catahoula Parish, LA",Western District of Louisiana,No,Louisiana
22027,"Claiborne Parish, LA",Western District of Louisiana,No,Louisiana
22029,"Concordia Parish, LA",Western District of Louisiana,No,Louisiana
22031,"De Soto Parish, LA",Western District of Louisiana,No,Louisiana
22033,"East Baton Rouge Parish, LA",Middle District of Louisiana,No,Louisiana
22035,"East Carroll Parish, LA",Western District of Louisiana,No,Louisiana
22037,"East Feliciana Parish, LA",Middle District of Louisiana,No,Louisiana
22039,"Evangeline Parish, LA",Western District of Louisiana,No,Louisiana
22041,"Franklin Parish, LA",Western District of Louisiana,No,Louisiana
22043,"Grant Parish, LA",Western District of Louisiana,No,Louisiana
22045,"Iberia Parish, LA",Western District of Louisiana,No,Louisiana
22047,"Iberville Parish, LA",Middle District of Louisiana,No,Louisiana
22049,"Jackson Parish, LA",Western District of Louisiana,No,Louisiana
22051,"Jefferson Parish, LA",Eastern District of Louisiana,No,Louisiana
22053,"Jefferson Davis Parish, LA",Western District of Louisiana,No,Louisiana
22055,"Lafayette Parish, LA",Western District of Louisiana,No,Louisiana
22057,"Lafourche Parish, LA",Eastern District of Louisiana,No,Louisiana
22059,"LaSalle Parish, LA",Western District of Louisiana,No,Louisiana
22061,"Lincoln Parish, LA",Western District of Louisiana,No,Louisiana
22063,"Livingston Parish, LA",Middle District of Louisiana,No,Louisiana
22065,"Madison Parish, LA",Western District of Louisiana,No,Louisiana
22067,"Morehouse Parish, LA",Western District of Louisiana,No,Louisiana
22069,"Natchitoches Parish, LA",Western District of Louisiana,No,Louisiana
22071,"Orleans Parish, LA",Eastern District of Louisiana,No,Louisiana
