FIPS,County/Equivalent,Federal District Court,Public Attorney Search,State
05025,"Cleveland County, AR",Eastern District of Arkansas,No,Arkansas
05027,"Columbia County, AR",Western District of Arkansas,No,Arkansas
05029,"Conway County, AR",Eastern District of Arkansas,No,Arkansas
05031,"Craighead County, AR",Eastern District of Arkansas,No,Arkansas
05033,"Crawford County, AR",Western District of Arkansas,No,Arkansas
05035,"Crittenden County, AR",Eastern District of Arkansas,No,Arkansas
05037,"Cross County, AR",Eastern District of Arkansas,No,Arkansas
05039,"Dallas County, AR",Eastern District of Arkansas,No,Arkansas
05041,"Desha County, AR",Eastern District of Arkansas,No,Arkansas
05043,"Drew County, AR",Eastern District of Arkansas,No,Arkansas
05045,"Faulkner County, AR",Eastern District of Arkansas,No,Arkansas
05047,"Franklin County, AR",Western District of Arkansas,No,Arkansas
05049,"Fulton County, AR",Eastern District of Arkansas,No,Arkansas
05051,"Garland County, AR",Western District of Arkansas,No,Arkansas
05053,"Grant County, AR",Eastern District of Arkansas,No,Arkansas
05055,"Greene County, AR",Eastern District of Arkansas,No,Arkansas
05057,"Hempstead County, AR",Western District of Arkansas,No,Arkansas
05059,"Hot Spring County, AR",Western District of Arkansas,No,Arkansas
05061,"Howard County, AR",Western District of Arkansas,No,Arkansas
05063,"Independence County, AR",Eastern District of Arkansas,No,Arkansas
05065,"Izard County, AR",Eastern District of Arkansas,No,Arkansas
05067,"Jackson County, AR",Eastern District of Arkansas,No,Arkansas
05069,"Jefferson County, AR",Eastern District of Arkansas,No,Arkansas
05071,"Johnson County, AR",Western District of Arkansas,No,Arkansas
05073,"Lafayette County, AR",Western District of Arkansas,No,Arkansas
05075,"Lawrence County, AR",Eastern District of Arkansas,No,Arkansas
05077,"Lee County, AR",Eastern District of Arkansas,No,Arkansas
05079,"Lincoln County, AR",Eastern District of Arkansas,No,Arkansas
05081,"Little River County, AR",Western District of Arkansas,No,Arkansas
05083,"Logan County, AR",Western District of Arkansas,No,Arkansas
05085,"Lonoke County, AR",Eastern District of Arkansas,No,Arkansas
05087,"Madison County, AR",Western District of Arkansas,No,Arkansas
05089,"Marion County, AR",Western District of Arkansas,No,Arkansas
05091,"Miller County, AR",Western District of Arkansas,No,Arkansas
05093,"Mississippi County, AR",Eastern District of Arkansas,No,Arkansas
05095,"Monroe County, AR",Eastern District of Arkansas,No,Arkansas
05097,"Montgomery County, AR",Western District of Arkansas,No,Arkansas
05099,"Nevada County, AR",Western District of Arkansas,No,Arkansas
05101,"Newton County, AR",Western District of Arkansas,No,Arkansas
05103,"Ouachita County, AR",Western District of Arkansas,No,Arkansas
05105,"Perry County, AR",Eastern District of Arkansas,No,Arkansas
05107,"Phillips County, AR",Eastern District of Arkansas,No,Arkansas
05109,"Pike County, AR",Western District of Arkansas,No,Arkansas
05111,"Poinsett County, AR",Eastern District of Arkansas,No,Arkansas
05113,"Polk County, AR",Western District of Arkansas,No,Arkansas
05115,"Pope County, AR",Eastern District of Arkansas,No,Arkansas
05117,"Prairie County, AR",Eastern District of Arkansas,No,Arkansas
05119,"Pulaski County, AR",Eastern District of Arkansas,No,Arkansas
05121,"Randolph County, AR",Eastern District of Arkansas,No,Arkansas
05123,"St. Francis County, AR",Eastern District of Arkansas,No,Arkansas
05125,"Saline County, AR",Eastern District of Arkansas,No,Arkansas
05127,"Scott County, AR",Western District of Arkansas,No,Arkansas
05129,"Searcy County, AR",Western District of Arkansas,No,Arkansas
05131,"Sebastian County, AR",Western District of Arkansas,No,Arkansas
05133,"Sevier County, AR",Western District of Arkansas,No,Arkansas
05135,"Sharp County, AR",Eastern District of Arkansas,No,Arkansas
05137,"Stone County, AR",Eastern District of Arkansas,No,Arkansas
05139,"Union County, AR",Western District of Arkansas,No,Arkansas
05141,"Van Buren County, AR",Eastern District of Arkansas,No,Arkansas
05143,"Washington County, AR",Western District of Arkansas,No,Arkansas
05145,"White County, AR",Eastern District of Arkansas,No,Arkansas
05147,"Woodruff County, AR",Eastern District of Arkansas,No,Arkansas
05149,"Yell County, AR",Eastern District of Arkansas,No,Arkansas
06001,"Alameda County, CA",Northern District of California,Yes,California
06003,"Alpine County, CA",Eastern District of California,Yes,California
06005,"Amador County, CA",Eastern District of California,Yes,California
06007,"Butte County, CA",Eastern District of California,Yes,California
06009,"Calaveras County, CA",Eastern District of California,Yes,California
06011,"Colusa County, CA",Eastern District of California,Yes,California
06013,"Contra Costa County, CA",Northern District of California,Yes,California
06015,"Del Norte County, CA",Northern District of California,Yes,California
06017,"El Dorado County, CA",Eastern District of California,Yes,California
06019,"Fresno County, CA",Eastern District of California,Yes,California
06021,"Glenn County, CA",Eastern District of California,Yes,California
06023,"Humboldt County, CA",Northern District of California,Yes,California
06025,"Imperial County, CA",Southern District of California,No,California
06027,"Inyo County, CA",Eastern District of California,Yes,California
06029,"Kern County, CA",Eastern District of California,Yes,California
06031,"Kings County, CA",Eastern District of California,Yes,California
06033,"Lake County, CA",Northern District of California,Yes,California
06035,"Lassen County, CA",Eastern District of California,Yes,California
06037,"Los Angeles County, CA",Central District of California,Yes,California
06039,"Madera County, CA",Eastern District of California,Yes,California
06041,"Marin County, CA",Northern District of California,Yes,California
06043,"Mariposa County, CA",Eastern District of California,Yes,California
06045,"Mendocino County, CA",Northern District of California,Yes,California
06047,"Merced County, CA",Eastern District of California,Yes,California
06049,"Modoc County, CA",Eastern District of California,Yes,California
06051,"Mono County, CA",Eastern District of California,Yes,California
06053,"Monterey County, CA",Northern District of California,Yes,California
06055,"Napa County, CA",Northern District of California,Yes,California
06057,"Nevada County, CA",Eastern District of California,Yes,California
06059,"Orange County, CA",Central District of California,Yes,California
06061,"Placer County, CA",Eastern District of California,Yes,California
06063,"Plumas County, CA",Eastern District of California,Yes,California
06065,"Riverside County, CA",Central District of California,Yes,California
06067,"Sacramento County, CA",Eastern District of California,Yes,California
06069,"San Benito County, CA",Northern District of California,Yes,California
06071,"San Bernardino County, CA",Central District of California,Yes,California
06073,"San Diego County, CA",Southern District of California,No,California
06075,"San Francisco County/city, CA",Northern District of California,Yes,California
06077,"San Joaquin County, CA",Eastern District of California,Yes,California
06079,"San Luis Obispo County, CA",Central District of California,Yes,California
06081,"San Mateo County, CA",Northern District of California,Yes,California
06083,"Santa Barbara County, CA",Central District of California,Yes,California
06085,"Santa Clara County, CA",Northern District of California,Yes,California
06087,"Santa Cruz County, CA",Northern District of California,Yes,California
06089,"Shasta County, CA",Eastern District of California,Yes,California
06091,"Sierra County, CA",Eastern District of California,Yes,California
06093,"Siskiyou County, CA",Eastern District of California,Yes,California
06095,"Solano County, CA",Eastern District of California,Yes,California
06097,"Sonoma County, CA",Northern District of California,Yes,California
06099,"Stanislaus County, CA",Eastern District of California,Yes,California
06101,"Sutter County, CA",Eastern District of California,Yes,California
06103,"Tehama County, CA",Eastern District of California,Yes,California
06105,"Trinity County, CA",Eastern District of California,Yes,California
06107,"Tulare County, CA",Eastern District of California,Yes,California
06109,"Tuolumne County, CA",Eastern District of California,Yes,California
06111,"Ventura County, CA",Central District of California,Yes,California
